id,name,complete_name,active,usage,location_id,comment,posx,posy,posz,parent_path,company_id,scrap_location,return_location,removal_strategy_id,barcode,cyclic_inventory_frequency,last_inventory_date,next_inventory_date,storage_category_id,create_uid,create_date,write_uid,write_date,valuation_in_account_id,valuation_out_account_id
56,Stock,DSWH/Stock,true,internal,55,,0,0,0,1/55/56/,1,false,,,DSWH-STOCK,0,,,,47,2025-04-23 10:46:18.330455,47,2025-04-23 10:46:18.330455,,
55,DSWH,DSWH,true,view,1,,0,0,0,1/55/,1,false,,,,0,,,,47,2025-04-23 10:46:18.330455,47,2025-04-23 10:46:18.330455,,
50,Stock,CSB2B/Stock,true,internal,49,,0,0,0,1/49/50/,1,false,,,CSB2B-STOCK,0,,,,47,2025-02-24 13:31:53.913706,47,2025-02-24 13:31:53.913706,,
49,CSB2B,CSB2B,true,view,1,,0,0,0,1/49/,1,false,,,,0,,,,47,2025-02-24 13:31:53.913706,47,2025-02-24 13:31:53.913706,,
44,Stock,POSWH/Stock,true,internal,43,,0,0,0,1/43/44/,1,false,,,CSB2C-STOCK,0,2025-06-11,,,47,2025-02-24 13:31:18.738588,35,2025-06-11 09:24:58.738667,,
43,POSWH,POSWH,true,view,1,,0,0,0,1/43/,1,false,,,,0,,,,47,2025-02-24 13:31:18.738588,47,2025-04-23 10:39:10.187428,,
32,Stock,Carto/Stock,true,internal,31,,0,0,0,1/31/32/,3,false,,,CARTO-STOCK,0,,,,2,2023-09-07 15:41:24.071372,2,2023-09-07 15:41:24.071372,,
31,Carto,Carto,true,view,1,,0,0,0,1/31/,3,false,,,,0,,,,2,2023-09-07 15:41:24.071372,2,2023-09-07 15:41:24.071372,,
30,Scrap,Virtual Locations/Scrap,true,inventory,3,,0,0,0,3/30/,3,true,,,,0,,,,2,2023-09-07 15:41:24.071372,2,2023-09-07 15:41:24.071372,,
29,Production,Virtual Locations/Production,true,production,3,,0,0,0,3/29/,3,false,,,,0,,,,2,2023-09-07 15:41:24.071372,2,2023-09-07 15:41:24.071372,,
28,Inventory adjustment,Virtual Locations/Inventory adjustment,true,inventory,3,,0,0,0,3/28/,3,false,,,,0,,,,2,2023-09-07 15:41:24.071372,2,2023-09-07 15:41:24.071372,,
22,Stock,كرتون/Stock,true,internal,21,,0,0,0,1/21/22/,2,false,,,كرتون-STOCK,0,,,,2,2023-01-30 15:05:59.078728,1,2023-08-28 22:04:06.720308,,
21,كرتون,كرتون,true,view,1,,0,0,0,1/21/,2,false,,,,0,,,,2,2023-01-30 15:05:59.078728,1,2023-08-28 22:04:06.720308,,
20,Scrap,Virtual Locations/Scrap,true,inventory,3,,0,0,0,3/20/,2,true,,,,0,,,,2,2023-01-30 15:05:59.078728,1,2023-08-28 22:04:06.720308,,
19,Production,Virtual Locations/Production,true,production,3,,0,0,0,3/19/,2,false,,,,0,,,,2,2023-01-30 15:05:59.078728,1,2023-08-28 22:04:06.720308,,
18,Inventory adjustment,Virtual Locations/Inventory adjustment,true,inventory,3,,0,0,0,3/18/,2,false,,,,0,,,,2,2023-01-30 15:05:59.078728,1,2023-08-28 22:04:06.720308,,
16,Scrap,Virtual Locations/Scrap,true,inventory,3,,0,0,0,3/16/,1,true,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
15,Production,Virtual Locations/Production,true,production,3,<p><br></p>,0,0,0,3/15/,1,false,,,,0,,,,1,2023-01-04 06:03:11.031848,2,2024-10-15 17:25:27.125898,,
14,cartona shop - shoubra branch,Physical Locations/cartona shop - shoubra branch,true,inventory,1,<p><br></p>,0,0,0,1/14/,1,false,,,,0,2025-05-30,,,1,2023-01-04 06:03:11.031848,35,2025-05-30 13:15:46.155609,3923,3923
13,Inter-warehouse transit,Physical Locations/Inter-warehouse transit,true,transit,1,,0,0,0,1/13/,1,false,,,,0,,,,1,2023-01-04 06:03:11.031848,47,2025-04-23 10:39:10.187428,,
8,Stock,WH/Stock,true,internal,7,<p><br></p>,0,0,0,1/7/8/,1,false,,,WH-STOCK,0,2025-05-30,,,1,2023-01-04 06:03:11.031848,35,2025-05-30 14:05:20.464409,,
7,WH,WH,true,view,1,,0,0,0,1/7/,1,false,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
5,Customers,Partner Locations/Customers,true,customer,2,,0,0,0,2/5/,,false,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
4,Vendors,Partner Locations/Vendors,true,supplier,2,,0,0,0,2/4/,,false,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
3,Virtual Locations,Virtual Locations,true,view,,,0,0,1,3/,,false,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
2,Partner Locations,Partner Locations,true,view,,<p><br></p>,0,0,1,2/,,false,,,,0,,,,1,2023-01-04 06:03:11.031848,35,2025-05-29 07:10:37.867874,,
1,Physical Locations,Physical Locations,true,view,,,0,0,0,1/,,false,,,,0,,,,1,2023-01-04 06:03:11.031848,1,2023-08-28 22:04:06.720308,,
